rank,position,name,age,games_played,plate_appearances,at_bats,runs_scored,hits,doubles_hit,triples_hit,homers,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_avg (hits/at_bats),on_base_perc (hits + walks + hit_by_pitch)/(at_bats + hits + hit_by_pitch + sacrifice_flies),SLG (total_bases/at_bats),total_bases (hits + doubles_hit + 2*triples_hit + 3*homers),hit_by_pitch,sacrifice_hits,sacrifice_flies,intentional_bases_on_balls,
1,C,Robinson Chirinos,35,114,437,366,57,87,22,1,17,58,1,2,51,125,,,,,11,13,2,5,1
2,1B,Yuli Gurriel,35,144,612,564,85,168,40,2,31,104,5,3,37,65,,,,,12,5,0,6,2
3,2B,Jose Altuve,29,124,548,500,89,149,27,3,31,74,6,5,41,82,,,,,19,3,1,3,0
4,SS,Carlos Correa,24,75,321,280,42,78,16,1,21,59,1,0,35,75,,,,,8,2,0,4,0
5,3B,Alex Bregman,25,156,690,554,122,164,37,2,41,112,5,1,119,83,,,,,9,9,0,8,2
6,LF,Michael Brantley,32,148,637,575,88,179,40,2,22,90,3,2,51,66,,,,,21,7,0,4,3
7,CF,Jake Marisnick,28,120,318,292,46,68,16,3,10,34,10,3,17,95,,,,,6,6,3,0,0
8,RF,Josh Reddick,32,141,550,501,57,138,19,3,14,56,5,2,36,66,,,,,9,0,1,9,1
9,DH,Yordan Alvarez,22,87,369,313,58,98,26,0,27,78,0,0,52,94,,,,,9,2,0,2,4
10,OF,George Springer,29,122,556,479,96,140,20,3,39,96,6,2,67,113,,,,,12,6,0,4,1
11,1B,Tyler White,28,71,253,218,16,49,14,0,3,21,0,0,32,74,,,,,7,0,0,3,0
12,IF,Aledmys Diaz,28,69,247,210,36,57,12,1,9,40,2,0,26,28,,,,,10,5,0,6,1
13,2B,Tony Kemp,27,66,186,163,23,37,6,2,7,17,4,3,16,29,,,,,2,4,1,2,1
14,SS,Myles Straw,24,56,128,108,27,29,4,2,0,7,8,1,19,24,,,,,2,0,1,0,0
15,C,Max Stassi,28,31,98,90,4,15,1,0,1,3,0,0,7,34,,,,,1,1,0,0,0
16,C,Martin Maldonado,32,27,98,84,20,17,4,0,6,10,0,0,13,26,,,,,2,1,0,0,0
17,3B,Abraham Toro,22,25,89,78,13,17,3,2,2,9,1,1,9,19,,,,,2,1,0,1,0
18,UT,Kyle Tucker,22,22,72,67,15,18,6,0,4,11,5,0,4,20,,,,,1,1,0,0,1
19,SS,Jack Mayfield,28,26,65,64,8,10,5,0,2,5,0,0,1,16,,,,,0,0,0,0,0
20,OF,Derek Fisher,25,17,60,53,9,12,2,1,1,5,4,1,7,14,,,,,0,0,0,0,0
21,UT,Garrett Stubbs,26,19,39,35,8,7,3,0,0,2,1,0,4,7,,,,,1,0,0,0,0
22,P,Gerrit Cole,28,3,7,7,0,0,0,0,0,0,0,0,0,5,,,,,1,0,0,0,0
23,P,Wade Miley,32,3,6,4,1,0,0,0,0,0,0,0,1,1,,,,,0,0,1,0,0
24,P,Jose Urquidy,24,2,4,4,0,0,0,0,0,0,0,0,0,3,,,,,0,0,0,0,0
25,P,Justin Verlander,36,1,2,2,0,0,0,0,0,0,0,0,0,1,,,,,1,0,0,0,0
26,P,Zack Greinke,35,1,2,2,0,1,0,0,0,0,0,1,0,1,,,,,0,0,0,0,0
27,P,Joe Biagini,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
28,P,Collin McHugh,32,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
29,P,Cionel Perez,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
30,P,Ryan Pressly,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
31,P,Josh James,26,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
32,P,Chris Devenski,28,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
33,P,Will Harris,34,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
34,P,Joe Smith,35,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
35,P,Roberto Osuna,24,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
36,P,Hector Rondon,31,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
