Region,Washington Nationals: (10/29/18 - 10/29/19),Houston Astros: (10/29/18 - 10/29/19)
Texas,4%,96%
District of Columbia,93%,7%
Virginia,90%,10%
Maryland,90%,10%
Louisiana,9%,91%
Delaware,77%,23%
New Mexico,24%,76%
West Virginia,74%,26%
Oklahoma,23%,77%
Arkansas,25%,75%
Pennsylvania,59%,41%
Wyoming,31%,69%
Connecticut,35%,65%
Nevada,35%,65%
New York,37%,63%
New Jersey,41%,59%
North Dakota,32%,68%
Mississippi,33%,67%
Colorado,35%,65%
Florida,36%,64%
Montana,35%,65%
South Dakota,37%,63%
Missouri,48%,52%
Iowa,43%,57%
Arizona,37%,63%
Minnesota,38%,62%
Wisconsin,57%,43%
Vermont,42%,58%
Illinois,44%,56%
California,41%,59%
Rhode Island,37%,63%
North Carolina,56%,44%
Alaska,30%,70%
Georgia,54%,46%
Kansas,36%,64%
Maine,40%,60%
Tennessee,44%,56%
Alabama,44%,56%
Nebraska,41%,59%
New Hampshire,40%,60%
Massachusetts,40%,60%
South Carolina,55%,45%
Utah,39%,61%
Idaho,38%,62%
Hawaii,40%,60%
Michigan,38%,62%
Indiana,43%,57%
Washington,35%,65%
Kentucky,44%,56%
Ohio,43%,57%
Oregon,41%,59%
