Week,Washington Nationals: (United States),Houston Astros: (United States)
11/4/18,1,1
11/11/18,1,1
11/18/18,1,1
11/25/18,1,1
12/2/18,1,1
12/9/18,1,1
12/16/18,1,1
12/23/18,1,1
12/30/18,1,1
1/6/19,1,1
1/13/19,1,1
1/20/19,1,1
1/27/19,1,1
2/3/19,1,1
2/10/19,1,1
2/17/19,1,2
2/24/19,2,2
3/3/19,1,2
3/10/19,1,2
3/17/19,1,2
3/24/19,4,6
3/31/19,5,7
4/7/19,3,9
4/14/19,3,8
4/21/19,3,8
4/28/19,3,6
5/5/19,3,7
5/12/19,3,8
5/19/19,3,9
5/26/19,3,11
6/2/19,3,11
6/9/19,3,9
6/16/19,5,8
6/23/19,4,8
6/30/19,4,8
7/7/19,3,6
7/14/19,4,9
7/21/19,6,9
7/28/19,5,12
8/4/19,4,10
8/11/19,4,11
8/18/19,5,8
8/25/19,4,8
9/1/19,4,8
9/8/19,4,10
9/15/19,4,9
9/22/19,6,11
9/29/19,12,15
10/6/19,27,46
10/13/19,25,96
10/20/19,47,100
